Competition,Type of race,Sex,HOST NATION,Country,DAY,MONTH,YEAR,TIME,Latitude,Longitude,NOAA Station ID,Station Location,Distance from location (km),Air Temperature (C),Dew Point (C),Wind Speed (m/s),Adjusted wind speed,Relative Humidity (%),Clouds (OKTA),Diff from requested Time (minutes),Time zone,Solar Radiation accounting for clouds (tilt surface)(W/m},Heat Index (National Oceanic and Atmospheric Administration; Last modified 2014) - [°C],Simplified Wet Bulb Globe Temperature (American College of Sports Medicine; 1984) - [°C],Wet Bulb Globe Temperature (outdoor) (Yaglou; 1956) - [°C],World Record,Standing record,Finished time (1st),Finished time (2nd),Finished time (3rd),Finished time (4th),Finished time (5th),Finished time (6th),Finished time (7th),Finished time (8th),Finished time (9th),Finished time (10th),time_avgTop3
World Cup,20k,Men,Cheboksary,RUSSIA,10,5,2008,13:00:00,56.1307195,47.2449597,27962299999,RS; CHEBOKSARY,7.8,16.0,-5.0,2.0,0.8,23.2,0,,3,755,14.3,14.7,15.4,01:17:16,01:18:31,01:18:15,01:18:21,01:18:34,01:19:04,01:19:10,01:19:11,01:19:15,01:19:19,01:19:22,01:19:48,01:18:23
World Cup,20k,Women,Cheboksary,RUSSIA,11,5,2008,13:00:00,56.1307195,47.2449597,27962299999,RS; CHEBOKSARY,7.8,20.0,-1.0,1.9,0.8,24.3,0,,3,758,18.7,17.5,18.5,01:25:41,01:26:27,01:25:42,01:26:29,01:28:17,01:28:29,01:28:39,01:29:17,01:29:27,01:29:31,01:29:35,01:29:38,01:26:49
World Championships,20k,Men,Berlin,GERMANY,15,8,2009,13:00:00,52.5170365,13.3888599,10384099999,GM; TEMPELHOF,5.0,26.0,8.0,4.1,1.7,32.0,0,,2,743,25.5,22.9,22.3,01:17:16,01:17:21,01:19:06,01:19:22,01:19:50,01:20:03,01:20:27,01:20:38,01:20:52,01:21:13,01:21:43,01:21:48,01:19:26
World Championships,20k,Women,Berlin,GERMANY,16,8,2009,12:00:00,52.5170365,13.3888599,10384099999,GM; TEMPELHOF,5.0,30.0,10.0,5.7,2.3,29.0,0,,2,667,28.7,25.8,24.2,01:25:41,01:25:41,01:28:58,01:29:10,01:30:09,01:30:35,01:30:40,01:31:15,01:31:23,01:31:52,01:32:42,01:32:51,01:29:26
World Cup,20k,Men,Chihuahua,MEXICO,16,5,2010,10:10:00,28.5000001,-106,76225099999,MX; CHIHUAHUA CHIH.,,26.0,1.0,0.0,0.0,,0,,-6,,,,,01:17:16,01:18:15,01:22:35,01:22:46,01:22:54,01:23:11,01:23:49,01:23:56,01:24:05,01:24:08,01:24:23,01:24:27,01:22:45
World Cup,20k,Women,Chihuahua,MEXICO,15,5,2010,18:00:00,28.5000001,-106,76225099999,MX; CHIHUAHUA CHIH.,16.9,29.2,0.4,5.0,2.1,15.6,0,0,-6,0,27.5,23,18.2,01:25:41,01:25:42,01:31:55,01:32:06,01:33:28,01:33:54,01:34:18,01:34:47,01:34:53,01:34:57,01:35:04,01:35:38,01:32:30
Common Wealth,20k,Men,Delhi, India,9,10,2010,8:00:00,28.6517178,77.2219388,42182099999,IN; SAFDARJUNG,7.6,33.6,20.1,2.6,1.1,45.3,2,60,5.5,757,36.1,32.3,31.1,01:17:16,01:19:55,01:22:18,01:22:31,01:23:28,01:25:29,01:27:09,01:28:13,01:28:15,01:28:35,01:29:18,01:29:37,01:22:46
Common Wealth,20k,Women,Delhi, India,9,10,2010,8:00:00,28.6517178,77.2219388,42182099999,IN; SAFDARJUNG,7.6,33.6,20.1,2.6,1.1,45.3,2,60,5.5,757,36.1,32.3,31.1,01:25:41,01:32:46,01:34:22,01:36:55,01:37:49,01:40:33,01:42:03,01:49:01,01:51:44,,,,01:36:22
World Championships,20k,Men,Daegu,KOREA,28,8,2011,9:00:00,35.8713,128.6018,47143099999,KS; TAEGU ACC KOR AFB,1.9,27.8,20.3,4.1,1.7,63.8,4,0,9,665,29.6,29.1,27.2,01:17:16,01:17:21,01:20:38,01:20:54,01:21:17,01:21:39,01:21:50,01:22:08,01:22:10,01:22:49,01:22:55,01:23:05,01:20:56
World Championships,20k,Women,Daegu,KOREA,31,8,2011,9:00:00,35.8713,128.6018,47143099999,KS; TAEGU ACC KOR AFB,1.9,31.7,16.8,2.6,1.1,41.0,1,0,9,704,32,29.4,28.6,01:25:08,01:25:41,01:30:00,01:30:44,01:31:14,01:31:26,01:31:36,01:31:40,01:31:46,01:32:06,01:32:13,01:32:42,01:30:39
Olympic,20k,Men,London,UK,4,8,2012,17:00:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,20.0,12.3,5.6,2.3,61.2,3,0,0,332,19.7,20.9,18,,,,,,,,,,,,,#DIV/0!
Olympic,20k,Women,London,UK,11,8,2012,17:00:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,21.0,11.4,8.2,3.4,54.3,2,0,0,310,20.6,21.2,17.9,,,,,,,,,,,,,#DIV/0!
World Cup,20k,Men,Saransk,RUSSIA,12,5,2012,18:15:00,54.18671,45.18383,27760099999,RS; SARANSK,6.8,19.0,13.0,4.0,1.7,68.2,5,15,3,121,18.7,20.6,16.8,01:17:16,01:18:15,01:19:13,01:20:37,01:20:58,01:21:05,01:21:46,01:21:51,01:21:57,01:21:58,01:22:05,01:22:05,01:20:16
World Cup,20k,Women,Saransk,RUSSIA,13,5,2012,13:20:00,54.18671,45.18383,27760099999,RS; SARANSK,6.8,28.1,10.4,8.0,3.3,33.2,0,80,3,773,27.3,24.8,23.3,01:25:08,01:25:42,01:27:38,01:29:10,01:29:55,01:30:46,01:31:25,01:31:32,01:31:42,01:31:43,01:32:05,01:32:15,01:28:54
World Championships,20k,Men,Moskva ,RUSSIA,11,8,2013,17:00:00,55.7504461,37.6174943,27612099999,RS; MOSKVA VDNH DOLGOPRUDNYJ,9.2,19.4,18.8,0.0,0.0,96.3,8,60,3,96,19.9,23.5,20,01:17:16,01:17:21,01:21:09,01:21:21,01:22:05,01:22:06,01:22:09,01:22:14,01:22:21,01:22:36,01:22:50,01:23:06,01:21:32
World Championships,20k,Women,Moskva ,RUSSIA,13,8,2013,9:35:00,55.7504461,37.6174943,27612099999,RS; MOSKVA VDNH DOLGOPRUDNYJ,9.2,24.4,12.2,1.0,0.4,46.6,2,35,3,561,24.1,23.4,24.1,01:25:02,01:25:41,01:27:08,01:28:10,01:28:32,01:28:41,01:29:00,01:29:05,01:29:17,01:29:25,01:30:01,01:30:28,01:27:57
World Cup,20k,Men,Taicang,CHINA,4,5,2014,10:10:00,31.4590371,121.126477,58362099999,CH; SHANGHAI,32.9,15.8,14.5,1.0,0.4,92.0,8,70,8,167,15.8,19.4,16.4,01:17:16,01:18:15,01:18:37,01:18:52,01:18:59,01:19:19,01:19:21,01:19:40,01:19:59,01:20:03,01:20:04,01:20:13,01:18:49
World Cup,20k,Women,Taicang,CHINA,3,5,2014,16:30:00,31.4590371,121.126477,58362099999,CH; SHANGHAI,32.9,16.1,8.1,3.0,1.2,59.1,3,90,8,0,15.3,17.3,12.5,01:25:02,01:25:42,01:26:31,01:26:58,01:27:02,01:27:03,01:27:05,01:27:15,01:27:27,01:27:49,01:27:51,01:27:54,01:26:50
World Championships,20k,Men,Beijing,PROFCHINA,23,8,2015,8:30:00,39.8758649,116.2298249,,,,23.0,18.0,1.1,0.5,73.5,7,,8,442,23.3,25.1,24.1,01:16:36,01:17:21,01:19:14,01:19:29,01:19:57,01:20:29,01:20:42,01:20:44,01:21:13,01:21:37,01:21:39,01:21:40,01:19:33
World Championships,20k,Women,Beijing,PROFCHINA,28,8,2015,8:30:00,39.8758649,116.2298249,,,,25.0,16.0,1.9,0.8,57.4,3,,8,806,25.1,25.3,26.3,01:24:38,01:25:41,01:27:45,01:27:45,01:28:13,01:29:29,01:29:34,01:30:06,01:30:20,01:30:32,01:31:04,01:31:06,01:27:54
Olympic,20k,Men,Rio de janeiro,Brazil,12,8,2016,14:30:00,-22.911013,-43.209372,83755099999,BR; SANTOS DUMONT,4.7,19.0,16.0,1.5,0.6,82.8,7,30,-3,322,19.1,21.9,20,,,,,,,,,,,,,#DIV/0!
Olympic,20k,Women,Rio de janeiro,Brazil,19,8,2016,14:30:00,-22.911013,-43.209372,83755099999,BR; SANTOS DUMONT,4.7,27.0,20.0,2.1,0.9,65.6,4,30,-3,594,28.5,28.4,27.2,,,,,,,,,,,,,#DIV/0!
World Cup,20k,Men,Roma,ITALY,7,5,2016,16:30:00,41.8933203,12.4829321,16235099999,IT; URBE,6.7,21.0,10.0,1.5,0.6,49.4,2,20,2,768,20.4,20.7,22.5,01:16:36,01:18:15,01:19:22,01:19:34,01:19:36,01:19:38,01:19:55,01:20:07,01:20:12,01:20:20,01:20:33,01:20:40,01:19:31
World Cup,20k,Women,Roma,ITALY,7,5,2016,18:15:00,41.8933203,12.4829321,16235099999,IT; URBE,6.7,21.0,10.0,1.5,0.6,49.4,2,85,2,496,20.4,20.7,20.3,01:24:38,01:25:42,01:26:17,01:26:49,01:27:18,01:28:03,01:28:36,01:28:40,01:28:56,01:29:00,01:29:01,01:29:31,01:26:48
World Championships,20k,Men,London ,GREATBRITAIN,13,8,2017,14:20:00,51.5287718,-0.2416821,,,,21.0,6.0,3.6,1.5,37.7,0,,0,250,20.1,19.5,16.3,01:16:36,01:17:21,01:18:53,01:18:55,01:19:04,01:19:18,01:19:21,01:19:28,01:19:30,01:19:41,01:19:46,01:19:57,01:18:57
World Championships,20k,Women,London ,GREATBRITAIN,13,8,2017,12:20:00,51.5287718,-0.2416821,,,,20.0,6.0,3.1,1.3,40.0,0,,0,561,19.1,19,17.8,01:24:38,01:25:41,01:26:18,01:26:19,01:26:36,01:26:59,01:28:10,01:28:57,01:29:13,01:29:26,01:29:29,01:29:37,01:26:24
Common Wealth,20k,Men,Gold Coast, Australia,8,4,2018,7:00:00,-28.002373,153.414598,94580099999,AS; GOLD COAST SEAWAY,7.9,23.9,18.8,6.7,2.8,73.2,6,60,10,498,24.3,26,23.3,01:16:36,01:19:55,01:19:34,01:19:38,01:19:51,01:20:49,01:21:47,01:22:22,01:22:35,01:23:26,01:23:27,01:25:35,01:19:41
Common Wealth,20k,Women,Gold Coast, Australia,8,4,2018,9:15:00,-28.002373,153.414598,94580099999,AS; GOLD COAST SEAWAY,7.9,23.9,18.8,6.7,2.8,73.2,6,75,10,177,24.3,26,22,01:24:38,01:32:46,01:32:50,01:34:18,01:36:08,01:39:21,01:39:31,01:40:41,01:41:45,01:42:23,01:47:29,01:49:31,01:34:25
World Cup,20k,Men,Taicang,CHINA,6,5,2018,10:10:00,31.4590371,121.126477,58362099999,CH; SHANGHAI,32.9,24.0,21.1,3.0,1.2,83.9,7,70,8,351,24.6,27.4,24.4,01:16:36,01:18:15,01:21:13,01:21:22,01:21:33,01:21:53,01:22:21,01:22:35,01:22:54,01:23:22,01:23:31,01:23:34,01:21:23
World Cup,20k,Women,Taicang,CHINA,5,5,2018,16:30:00,31.4590371,121.126477,58362099999,CH; SHANGHAI,32.9,21.6,19.3,6.0,2.5,86.8,8,90,8,0,22.1,25,20.3,01:24:38,01:25:42,01:26:38,01:27:06,01:27:22,01:28:11,01:28:31,01:28:40,01:28:50,01:28:56,01:28:58,01:29:02,01:27:02
World Championships,20k,Men,Doha,QATAR,4,10,2019,23:30:00,25.2856329,51.5264162,41168099999,QA; DOHA PORT,2.9,32.0,28.0,1.1,0.5,79.5,7,,3,0,44.2,36.9,29.8,01:16:36,01:17:21,01:26:34,01:26:49,01:27:00,01:27:19,01:27:35,01:29:02,01:29:34,01:29:52,01:29:53,01:30:04,01:26:48
World Championships,20k,Women,Doha,QATAR,29,9,2019,23:59:00,25.2856329,51.5264162,41168099999,QA; DOHA PORT,2.9,33.0,27.0,1.1,0.5,70.9,5,,3,0,43.9,36.7,29.7,01:24:38,01:25:41,01:32:53,01:33:10,01:33:17,01:33:36,01:34:16,01:34:36,01:34:50,01:35:43,01:36:31,01:36:54,01:33:07
Olympic,3k,Men,sydney,AUSTRALIA,29,9,2000,19:25:00,-33.854815,151.216453,94768099999,AS; SYDNEY OBSERVATORY HILL,1.6,28.0,10.0,6.7,2.8,32.5,0,25,10,0,27.2,24.6,20,00:07:56,00:08:06,00:08:21,00:08:22,00:08:22,00:08:22,00:08:23,00:08:23,00:08:24,00:08:27,00:08:27,00:08:31,00:08:22
World Championships,3k,Men,EDMONTON,CANADA,8,8,2001,20:00:00,53.535411,-113.50799,71157099999,CA; EDMONTON MUNICIPAL CR10 ALTA,3.5,16.0,11.0,0.0,0.0,72.2,5,,-6,196,15.5,18.2,16.5,00:07:56,00:08:04,00:08:15,00:08:16,00:08:17,00:08:19,00:08:20,00:08:20,00:08:20,00:08:21,00:08:22,00:08:22,00:08:16
World Cup,3k,Men,MADRID,SPAIN ,21,9,2002,19:50:00,40.4167047,-3.7035825,8222099999,SP; MADRID RETIRO,1.7,20.0,11.0,5.3,2.2,56.2,3,,2,0,19.5,20.4,15.9,00:07:55,00:08:21,00:08:25,00:08:26,00:08:31,00:08:33,00:08:36,00:08:39,00:08:42,00:08:43,00:08:56,,00:08:27
Common Wealth,3k,Men,Manchester, England,27,7,2002,19:30:00,53.4794892,-2.2451148,3334099999,UK; MANCHESTER,14.1,20.0,14.0,4.6,1.9,68.4,5,10,1,0,19.8,21.6,17.1,00:07:55,00:08:15,00:08:19,00:08:20,00:08:20,00:08:26,00:08:34,00:08:39,00:08:41,00:08:41,00:08:44,,00:08:20
World Championships,3k,Men,PARIS,FRANCE,26,8,2003,21:00:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,23.0,9.8,3.1,1.3,43.2,1,60,2,40,22.5,21.8,17.4,00:07:55,00:08:04,00:08:04,00:08:05,00:08:09,00:08:11,00:08:13,00:08:14,00:08:14,00:08:17,00:08:18,00:08:19,00:08:06
Olympic,3k,Men,ATHENS,GREECE,24,8,2004,21:40:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,25.6,11.7,4.1,1.7,41.9,1,40,3,0,25.3,23.9,19.3,00:07:55,00:08:06,00:08:06,00:08:06,00:08:07,00:08:07,00:08:12,00:08:13,00:08:14,00:08:16,00:08:16,00:08:16,00:08:06
World Championships,3k,Men,HELSINKI,FINLAND,9,8,2005,21:20:00,60.1674098,24.9425769,2988099999,FI; ISOSAARI,10.2,20.0,18.0,4.7,2.0,88.3,9,20,3,0,20.4,23.4,18.8,00:07:54,00:08:04,00:08:13,00:08:15,00:08:15,00:08:15,00:08:17,00:08:18,00:08:19,00:08:20,00:08:20,00:08:20,00:08:15
World Championships,3k,Women,HELSINKI,FINLAND,8,8,2005,20:35:00,60.1674098,24.9425769,2988099999,FI; ISOSAARI,10.2,18.0,16.3,9.0,3.7,89.8,8,25,2,0,18.2,21.4,17,00:09:01,,09:18:24,09:20:49,09:27:35,,,,,,,,09:22:16
World Cup,3k,Men,ATHENS,GREECE,17,9,2006,18:45:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,23.6,16.5,2.1,0.9,64.5,4,45,3,61,23.7,24.7,20.4,00:07:54,00:08:21,00:08:19,00:08:19,00:08:29,00:08:29,00:08:36,00:08:39,00:08:43,00:08:51,00:09:11,,00:08:23
World Cup,3k,Women,ATHENS,GREECE,17,9,2006,20:30:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,21.6,17.8,2.1,0.9,79.0,7,30,2,0,21.9,24.2,19.5,00:09:01,,,,,,,,,,,,#DIV/0!
Common Wealth,3k,Men,Melbourne, Australia,24,3,2006,19:30:00,-37.814217,144.96316,94868099999,AS; MELBOURNE REGIONAL OFFICE,0.4,17.1,13.6,0.0,0.0,79.9,7,30,10,0,17,19.8,14.6,00:07:54,00:08:15,00:08:18,00:08:19,00:08:20,00:08:29,00:08:30,00:08:31,00:08:36,00:08:39,00:08:43,00:08:57,00:08:19
Common Wealth,3k,Women,Melbourne,Australia,22,3,2006,19:55:00,-37.814217,144.96316,94868099999,AS; MELBOURNE REGIONAL OFFICE,0.4,16.1,14.4,0.0,0.0,89.7,8,55,11,0,16.1,19.5,14.4,00:09:01,,,,,,,,,,,,#DIV/0!
World Championships,3k,Men,OSAKA,JAPAN,28,8,2007,20:55:00,34.6198813,135.490357,47772099999,JA; OSAKA,7.5,27.2,23.4,1.0,0.4,79.8,7,55,9,0,30.2,30.7,25,00:07:54,00:08:04,00:08:14,00:08:17,00:08:18,00:08:20,00:08:20,00:08:23,00:08:23,00:08:23,00:08:24,00:08:26,00:08:16
World Championships,3k,Women,OSAKA,JAPAN,27,8,2007,20:20:00,34.6198813,135.490357,47772099999,JA; OSAKA,7.5,28.7,23.6,3.1,1.3,74.0,6,20,9,0,32.8,31.7,25.9,00:09:02,00:09:18,00:09:07,00:09:09,00:09:20,00:09:25,00:09:28,00:09:30,00:09:30,00:09:37,00:09:38,00:09:40,00:09:12
Olympic,3k,Men,beijing,china,18,8,2008,21:10:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,21.5,19.1,1.0,0.4,86.2,8,10,8,0,22,24.8,20,00:07:54,00:08:06,00:08:10,00:08:10,00:08:11,00:08:13,00:08:15,00:08:16,00:08:16,00:08:17,00:08:20,00:08:21,00:08:11
Olympic,3k,Women,Beijing,China,17,8,2008,21:30:00,39.9065084,116.391239,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,19.0,18.0,4.0,1.7,93.9,8,0,8,0,19.4,22.8,18.3,,,,,,,,,,,,,#DIV/0!
World Championships,3k,Men,BERLIN,GERMANY,18,8,2009,19:50:00,52.5170365,13.3888599,10384099999,GM; TEMPELHOF,5.0,21.0,10.0,1.7,0.7,49.4,1,,2,161,20.4,20.7,17.3,00:07:54,00:08:04,00:08:00,00:08:01,00:08:01,00:08:01,00:08:12,00:08:12,00:08:13,00:08:14,00:08:17,00:08:17,00:08:01
World Championships,3k,Women,BERLIN,GERMANY,17,8,2009,20:30:00,52.5170365,13.3888599,10384099999,GM; TEMPELHOF,5.0,25.0,11.0,1.7,0.7,41.5,0,,2,59,24.6,23.3,19.1,00:08:59,00:09:07,00:09:08,00:09:09,00:09:11,00:09:13,00:09:13,00:09:13,00:09:15,00:09:19,00:09:23,00:09:25,00:09:09
Common Wealth,3k,Men,Delhi, India,11,10,2010,19:30:00,28.6517178,77.2219388,42182099999,IN; SAFDARJUNG,7.6,24.4,20.7,1.0,0.4,79.9,7,90,5.5,0,25,27.4,22.3,00:07:54,00:08:15,00:08:16,00:08:16,00:08:20,00:08:24,00:08:32,00:08:33,00:08:40,00:08:42,00:08:44,00:08:58,00:08:18
Common Wealth,3k,Women,Delhi, India,9,10,2010,19:30:00,28.6517178,77.2219388,42182099999,IN; SAFDARJUNG,7.6,26.8,20.7,0.0,0.0,69.3,5,90,5.5,0,28.5,28.7,23.5,00:08:59,00:09:20,00:09:41,00:09:42,00:09:53,00:09:56,00:09:58,00:10:02,00:10:13,00:10:21,00:10:26,,00:09:45
World Cup,3k,Men,SPLIT,CROATIA,5,9,2010,17:45:00,43.5116383,16.4399659,14445099999,HR; SPLIT MARJAN,0.8,23.3,12.7,0.0,0.0,51.4,2,15,2,418,23,22.9,24.9,00:07:54,00:08:19,00:08:10,00:08:10,00:08:10,00:08:14,00:08:23,00:08:23,00:08:27,00:08:28,00:08:48,,00:08:10
World Cup,3k,Women,SPLIT,CROATIA,5,9,2010,17:25:00,43.5116383,16.4399659,14445099999,HR; SPLIT MARJAN,0.8,24.0,12.8,1.0,0.4,49.6,2,25,2,476,23.8,23.4,23.3,00:08:59,00:09:29,00:09:25,00:09:26,00:09:30,00:09:41,00:09:45,00:09:45,00:09:47,00:09:50,00:10:05,,00:09:27
World Championships,3k,Women,DAEGU ,KOREA,30,8,2011,21:20:00,35.8713,128.6018,47143099999,KS; TAEGU ACC KOR AFB,1.9,23.2,20.1,1.5,0.6,82.8,7,20,9,0,23.7,26.4,21.4,00:08:59,00:09:07,00:09:07,00:09:12,00:09:17,00:09:18,00:09:26,00:09:28,00:09:31,00:09:32,00:09:33,00:09:37,00:09:12
Olympic,3k,Men,LONDON,UK,5,8,2012,21:25:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,18.0,12.0,3.6,1.5,68.0,5,25,1,0,17.6,19.7,15.1,00:07:54,00:08:06,00:08:19,00:08:19,00:08:20,00:08:20,00:08:23,00:08:24,00:08:25,00:08:26,00:08:28,00:08:28,00:08:19
Olympic,3k,Women,LONDON,UK,6,8,2012,21:05:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,16.0,13.0,5.6,2.3,82.4,7,5,1,0,15.8,18.9,14.4,00:08:59,00:08:59,00:09:08,00:09:10,00:09:10,00:09:13,00:09:20,00:09:22,00:09:24,00:09:24,00:09:27,00:09:32,00:09:09
World Championships,3k,Men,Moscow,RUSSIA,15,8,2013,20:20:00,55.7504461,37.6174943,27612099999,RS; MOSKVA VDNH DOLGOPRUDNYJ,9.2,18.0,11.0,3.9,1.6,63.6,4,40,3,0,17.5,19.3,14.7,00:07:54,00:08:00,00:08:06,00:08:06,00:08:08,00:08:09,00:08:09,00:08:12,00:08:17,00:08:17,00:08:20,00:08:20,00:08:07
World Championships,3k,Women,Moscow,RUSSIA,13,8,2013,21:25:00,55.7504461,37.6174943,27612099999,RS; MOSKVA VDNH DOLGOPRUDNYJ,9.2,20.0,12.0,1.9,0.8,60.0,5,25,3,0,19.6,20.8,16.2,00:08:59,00:09:07,00:09:12,00:09:13,00:09:13,00:09:15,00:09:17,00:09:22,00:09:34,00:09:34,00:09:37,00:09:37,00:09:12
Common Wealth,3k,Men,Glasgow, Scotland,1,8,2014,19:30:00,55.8609825,-4.2488787,3140099999,UK; GLASGOW,11.6,17.0,11.0,2.6,1.1,67.8,5,10,1,0,16.5,18.7,14.1,00:07:54,00:08:15,00:08:10,00:08:13,00:08:20,00:08:22,00:08:25,00:08:30,00:08:46,00:09:05,00:09:17,,00:08:14
Common Wealth,3k,Women,Glasgow, Scotland,30,7,2014,19:30:00,55.8609825,-4.2488787,3140099999,UK; GLASGOW,11.6,15.0,13.0,5.7,2.4,87.9,8,10,1,0,14.9,18.3,13.9,00:08:59,00:09:20,00:09:31,00:09:31,00:09:33,00:09:34,00:09:37,00:09:45,00:09:46,00:09:48,00:09:49,00:09:52,00:09:32
World Cup,3k,Men,MARRAKECH,MOROCCO,14,9,2014,18:15:00,31.6258257,-7.9891608,60230099999,MO; MENARA,4.9,31.0,12.4,2.1,0.9,32.1,0,15,1,0,29.9,27.2,22.4,00:07:54,00:08:10,00:08:13,00:08:14,00:08:17,00:08:25,00:08:29,00:08:30,00:08:40,00:08:48,,,00:08:15
World Cup,3k,Women,MARRAKECH,MOROCCO,14,9,2014,17:50:00,31.6258257,-7.9891608,60230099999,MO; MENARA,4.9,31.0,12.4,2.1,0.9,32.1,0,10,1,0,29.9,27.2,22.4,00:08:59,00:09:25,00:09:51,00:09:52,00:09:55,00:09:56,00:10:08,00:10:08,00:10:17,00:11:07,,,00:09:52
World Championships,3k,Men,BEIJING ,CHINA,24,8,2015,21:15:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,23.1,16.4,1.0,0.4,66.0,4,15,8,0,23.2,24.4,19.6,00:07:54,00:08:00,00:08:11,00:08:12,00:08:13,00:08:13,00:08:14,00:08:15,00:08:18,00:08:19,00:08:21,00:08:25,00:08:12
World Championships,3k,Women,BEIJING ,CHINA,26,8,2015,21:00:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,22.3,17.7,1.0,0.4,75.3,6,0,8,0,22.6,24.6,19.8,00:08:59,00:09:07,00:09:19,00:09:19,00:09:19,00:09:20,00:09:22,00:09:24,00:09:26,00:09:30,00:09:31,00:09:32,00:09:19
Diamond League,3k,Men,brussels,belgium,9,9,2016,21:30:00,50.8436709,4.36743669,6447099999,BE; UCCLE,5.0,18.0,12.0,1.7,0.7,68.0,5,30,2,306,17.6,19.7,17.5,00:07:54,00:07:54,00:08:04,00:08:04,00:08:08,00:08:11,00:08:13,00:08:14,00:08:16,00:08:16,00:08:19,00:08:21,00:08:05
Diamond League,3k,Men,RABAT,MOROCCO,22,5,2016,17:33:00,34.022405,-6.834543,60135099999,MO; SALE,8.3,21.0,15.0,5.7,2.4,68.6,5,3,1,0,20.9,22.6,18.1,00:07:54,00:07:54,00:08:03,00:08:04,00:08:12,00:08:18,00:08:18,00:08:19,00:08:20,00:08:21,00:08:22,00:08:23,00:08:06
Olympic,3k,Men,Rio de Janeiro,Brazil,17,8,2016,11:55:00,-22.911013,-43.209372,83755099999,BR; SANTOS DUMONT,4.7,25.0,19.0,2.6,1.1,69.4,5,5,-3,0,25.4,26.8,21.9,00:07:54,00:08:06,00:08:03,00:08:04,00:08:12,00:08:14,00:08:17,00:08:19,00:08:23,00:08:26,00:08:26,00:08:37,00:08:06
Olympic,3k,Women,Rio de Janeiro,Brazil,15,8,2016,11:15:00,-22.911013,-43.209372,83755099999,BR; SANTOS DUMONT,4.7,22.0,19.0,1.5,0.6,83.1,7,15,-3,30,22.4,25.1,20.5,00:08:59,00:08:59,00:09:00,00:09:07,00:09:08,00:09:16,00:09:17,00:09:18,00:09:20,00:09:21,00:09:21,00:09:23,00:09:05
Diamond League,3k,Women,ZURICH,switzerland,1,9,2016,21:36:00,47.3744489,8.5410422,6660099999,SZ; ZUERICH FLUNTERN,2.2,19.3,12.2,1.5,0.6,63.5,4,24,2,48,18.9,20.5,16.2,00:08:53,00:09:05,00:09:07,00:09:10,00:09:17,00:09:19,00:09:22,00:09:22,00:09:29,00:09:32,00:09:33,00:09:35,00:09:12
Diamond League,3k,Men,brussels,belgium,1,9,2017,21:00:00,50.8436709,4.36743669,6447099999,BE; UCCLE,5.0,11.9,10.9,1.0,0.4,93.6,8,0,2,1,11.6,15.8,10.8,00:07:54,00:07:54,00:08:05,00:08:05,00:08:12,00:08:12,00:08:12,00:08:13,00:08:18,00:08:19,00:08:26,00:08:26,00:08:07
Diamond League,3k,Women,DOHA,QATAR,5,5,2017,20:05:00,25.2856329,51.5264162,41170099999,QA; DOHA INTERNATIONAL,4.7,30.0,23.0,2.1,0.9,66.3,4,5,3,0,34.2,32,26.3,00:08:53,00:09:05,00:09:00,00:09:02,00:09:02,00:09:06,00:09:15,00:09:16,00:09:16,00:09:19,00:09:28,00:09:30,00:09:01
Diamond League,3k,Men,LONDON,UK,8,8,2017,21:10:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,15.0,11.0,5.3,2.2,77.0,6,10,1,0,14.6,17.6,13,00:07:54,00:07:54,00:08:14,00:08:14,00:08:16,00:08:16,00:08:21,00:08:22,00:08:22,00:08:23,00:08:25,00:08:26,00:08:15
World Championships,3k,Men,London,uk,8,8,2017,20:30:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,15.2,11.0,5.1,2.1,76.0,6,30,0,0,14.8,17.7,13.1,,,,,,,,,,,,,#DIV/0!
Diamond League,3k,Women,LONDON,UK,11,8,2017,21:25:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,18.0,13.0,5.6,2.3,72.6,5,25,1,0,17.8,20,15.6,00:08:53,00:09:00,00:09:03,00:09:04,00:09:04,00:09:10,00:09:14,00:09:15,00:09:22,00:09:23,00:09:24,00:09:26,00:09:03
World Championships,3k,Women,London,uk,11,8,2017,21:25:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,17.0,13.7,6.2,2.6,80.9,7,25,0,0,16.9,19.7,15.3,00:08:53,,09:02:58,09:04:17,09:04:03,,,,,,,,09:03:46
