Competition,Type of race,Sex,HOST NATION,Country,DAY,MONTH,YEAR,TIME,Latitude,Longitude,NOAA Station ID,Station Location,Distance from location (km),Air Temperature (C),Dew Point (C),Wind Speed (m/s),Adjusted wind speed,Relative Humidity (%),Clouds (OKTA),Diff from requested Time (minutes),Time zone,Solar Radiation accounting for clouds (tilt surface)(W/m},Heat Index (National Oceanic and Atmospheric Administration; Last modified 2014) - [°C],Simplified Wet Bulb Globe Temperature (American College of Sports Medicine; 1984) - [°C],Wet Bulb Globe Temperature (outdoor) (Yaglou; 1956) - [°C],World Record,Standing record,Finished time (1st),Finished time (2nd),Finished time (3rd),Finished time (4th),Finished time (5th),Finished time (6th),Finished time (7th),Finished time (8th),Finished time (9th),Finished time (10th),time_avgTop3
World Championships,10k,Men,OSAKA,JAPAN,27,8,2007,21:40:00,34.6198813,135.490357,47772099999,JA; OSAKA,7.5,29.2,23.9,3.1,1.3,73.2,6,20,9,0,33.8,32.2,26.3,00:26:18,00:26:50,00:27:06,00:27:09,00:27:12,00:27:21,00:27:31,00:27:45,00:27:57,00:28:26,00:28:29,00:28:31,00:27:09
World Championships,10k,Women,OSAKA,JAPAN,25,8,2007,21:50:00,34.6198813,135.490357,47772099999,JA; OSAKA,7.5,26.5,18.9,1.5,0.6,63.1,4,10,9,0,26.9,27.6,22.6,00:29:32,00:30:04,00:31:55,00:32:02,00:32:04,00:32:07,00:32:25,00:32:30,00:32:31,00:32:31,00:32:33,00:32:39,00:32:00
Olympic,10k,Men,beijing,CHINA,17,8,2008,22:45:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,20.0,18.0,3.0,1.2,88.3,8,15,8,0,20.4,23.4,18.8,00:26:18,00:27:05,00:27:01,00:27:03,00:27:04,00:27:04,00:27:05,00:27:07,00:27:08,00:27:24,00:27:25,00:27:27,00:27:03
Olympic,10k,Women,beijing,CHINA,15,8,2008,22:45:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,20.0,16.0,4.0,1.7,77.8,6,15,8,0,20.1,22.4,17.9,00:29:32,00:30:17,00:29:55,00:30:22,00:30:26,00:30:36,00:30:40,00:30:40,00:30:51,00:30:55,00:31:01,00:31:12,00:30:14
World Championships,10k,Men,BERLIN,GERMANY,17,8,2009,20:50:00,52.5170365,13.3888599,10384099999,GM; TEMPELHOF,5.0,24.0,12.0,1.1,0.5,47.1,1,,2,17,23.7,23.1,18.6,00:26:18,00:26:50,00:26:46,00:26:50,00:26:57,00:27:16,00:27:18,00:27:22,00:27:26,00:27:38,00:27:41,00:27:44,00:26:51
World Championships,10k,Women,BERLIN,GERMANY,15,8,2009,19:25:00,52.5170365,13.3888599,10384099999,GM; TEMPELHOF,5.0,27.0,6.0,5.6,2.3,26.3,0,,2,247,26.3,22.9,19.5,00:29:32,00:30:04,00:30:51,00:30:51,00:30:52,00:30:52,00:30:52,00:31:14,00:31:14,00:31:21,00:31:23,00:31:26,00:30:52
Common Wealth,10k,Men,Delhi, India,11,10,2010,21:00:00,28.6517178,77.2219388,42182099999,IN; SAFDARJUNG,7.6,23.8,20.7,1.0,0.4,82.8,7,0,5.5,0,24.4,27,22,00:26:18,00:27:45,00:27:57,00:27:58,00:27:59,00:28:03,00:28:47,00:28:47,00:28:49,00:28:50,00:29:36,00:29:45,00:27:58
Common Wealth,10k,Women,Delhi,India,8,10,2010,21:00:00,28.6517178,77.2219388,42182099999,IN; SAFDARJUNG,7.6,24.6,22.8,0.0,0.0,89.8,8,0,5.5,0,25.5,28.8,23.3,,,,,,,,,,,,,#DIV/0!
World Championships,10k,Men,DAEGU ,KOREA,28,8,2011,19:30:00,35.8713,128.6018,47143099999,KS; TAEGU ACC KOR AFB,1.9,23.2,20.1,2.1,0.9,82.8,7,90,9,0,23.7,26.4,21.4,00:26:18,00:26:46,00:27:14,00:27:14,00:27:19,00:27:23,00:27:24,00:27:26,00:27:27,00:27:34,00:27:54,00:28:42,00:27:16
World Championships,10k,Women,DAEGU ,KOREA,27,8,2011,21:00:00,35.8713,128.6018,47143099999,KS; TAEGU ACC KOR AFB,1.9,21.9,19.6,0.5,0.2,86.8,8,0,9,0,22.4,25.3,20.3,00:29:32,00:30:04,00:30:49,00:30:50,00:30:54,00:30:56,00:30:57,00:31:22,00:31:26,00:31:37,00:31:48,00:32:07,00:30:51
Olympic,10k,Men,LONDON,UK,4,8,2012,21:15:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,17.0,12.0,1.9,0.8,72.4,5,15,1,0,16.6,19.1,14.4,00:26:18,00:27:01,00:27:30,00:27:31,00:27:31,00:27:32,00:27:33,00:27:34,00:27:35,00:27:36,00:27:39,00:27:39,00:27:31
Olympic,10k,Women,LONDON,UK,3,8,2012,21:25:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,17.0,11.0,3.6,1.5,67.8,5,25,1,0,16.5,18.7,14.2,00:29:32,00:29:55,00:30:21,00:30:26,00:30:30,00:30:39,00:30:46,00:30:47,00:30:53,00:30:56,00:30:59,00:31:10,00:30:26
World Championships,10k,Men,Moscow,RUSSIA,10,8,2013,18:55:00,55.7504461,37.6174943,27612099999,RS; MOSKVA VDNH DOLGOPRUDNYJ,9.2,20.9,17.8,0.0,0.0,82.5,7,55,3,52,21.2,23.8,19.7,00:26:18,00:26:46,00:27:22,00:27:22,00:27:23,00:27:24,00:27:25,00:27:27,00:27:28,00:27:29,00:27:36,00:27:38,00:27:22
World Championships,10k,Women,Moscow,RUSSIA,11,8,2013,21:05:00,55.7504461,37.6174943,27612099999,RS; MOSKVA VDNH DOLGOPRUDNYJ,9.2,20.2,20.1,1.0,0.4,99.4,8,5,3,19,20.9,24.6,19.9,00:29:32,00:30:04,00:30:43,00:30:45,00:30:47,00:30:47,00:30:57,00:31:14,00:31:22,00:31:35,00:32:02,00:32:04,00:30:45
Common Wealth,10k,Men,Glasgow, Scotland,1,8,2014,21:00:00,55.8609825,-4.2488787,3140099999,UK; GLASGOW,11.6,13.0,10.0,1.5,0.6,82.0,7,10,1,0,12.5,16.1,11.2,00:26:18,00:27:45,00:27:56,00:27:56,00:27:56,00:27:58,00:28:00,00:28:03,00:28:04,00:28:04,00:28:04,00:28:17,00:27:56
Common Wealth,10k,Women,Glasgow, Scotland,29,7,2014,21:00:00,55.8609825,-4.2488787,3140099999,UK; GLASGOW,11.6,14.0,11.0,4.6,1.9,82.1,7,10,1,0,13.6,17,12.4,00:29:32,00:31:28,00:32:09,00:32:09,00:32:11,00:32:33,00:32:33,00:32:42,00:32:58,00:33:12,00:33:22,00:34:12,00:32:10
World Championships,10k,Men,BEIJING ,CHINA,22,8,2015,20:50:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,22.5,18.1,3.0,1.2,76.2,6,10,8,0,22.8,24.9,20.2,00:26:18,00:26:46,00:27:01,00:27:02,00:27:03,00:27:05,00:27:09,00:27:43,00:27:44,00:27:45,00:27:49,00:27:54,00:27:02
